"date","I_1","I_2+","R_mean","R_q.025","R_q.975"
"2020-01-20",1,0,NA,NA,NA
"2020-01-21",0,0,NA,NA,NA
"2020-01-22",0,0,NA,NA,NA
"2020-01-23",3,4,NA,NA,NA
"2020-01-24",6,12,NA,NA,NA
"2020-01-25",2,7,NA,NA,NA
"2020-01-26",12,18,NA,NA,NA
"2020-01-27",10,10,2.62696311146863,1.96194170133443,3.38754882104655
"2020-01-28",18,9,1.85612957065634,1.41979204796049,2.35003936311228
"2020-01-29",13,16,1.58475514100361,1.25066397447672,1.95779688900415
"2020-01-30",27,27,1.48314889393165,1.20674913629671,1.78762375546838
"2020-01-31",27,27,1.26828013539496,1.04709532504679,1.51034323930328
"2020-02-01",17,26,1.12819212440749,0.94526716213809,1.32705731951283
"2020-02-02",18,37,1.02573145287928,0.86964043551865,1.19451615577756
"2020-02-03",33,63,1.14493577034432,0.993915496374875,1.30648080285203
"2020-02-04",27,51,1.15701559527805,1.01748438985791,1.30538190193357
"2020-02-05",24,41,1.06606239199014,0.943341754298016,1.19617832530036
"2020-02-06",21,47,0.978379005832452,0.869547798769062,1.0935340823664
"2020-02-07",16,42,0.907087183551823,0.808601945827302,1.01115001543494
"2020-02-08",7,50,0.891018552631658,0.797741084207472,0.989378839608385
"2020-02-09",6,29,0.811450112081353,0.725489340621894,0.902154072535992
"2020-02-10",12,32,0.6992351937523,0.621454896236085,0.781535081394782
