"C_us-kr_T_mean","C_us-kr_T_q.025","C_us-kr_T_q.975","date_T","C_us-kr_E_mean","C_us-kr_E_q.025","C_us-kr_E_q.975","date_E","C_us_T","C_us_E_mean","C_us_E_std","C_us_E_lb","C_us_E_ub"
391.72,331.425,483.1,2020-03-10,427.52,334.425,570.575,2020-03-10,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
4808.3,4250.55,5366.675,2020-03-11,5926.05,5210.575,6774.025,2020-03-11,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
7845.95,7194.175,8553.525,2020-03-12,9701.85,8775.175,10703.8,2020-03-12,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
11074.85,10386.2,11891.625,2020-03-13,13793.53,12651.125,14860.65,2020-03-13,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
11483.8,10695.55,12182.55,2020-03-14,14307.34,13232.8,15309.15,2020-03-14,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
14649.47,13958.3,15617.55,2020-03-15,18475.89,17228.875,20071.75,2020-03-15,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
3902.33,3709.725,4126.45,2020-03-16,4679.97,4323.425,5100.575,2020-03-16,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
3005.74,2830.425,3177.15,2020-03-17,3543.68,3234.875,3949.25,2020-03-17,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
27553.6,26677.975,28627.225,2020-03-18,36766.84,35031.625,38468.1,2020-03-18,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
54410.94,53058.3,55673.85,2020-03-19,73842.52,71741.75,76005.3,2020-03-19,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
94109.99,92510.475,95753.35,2020-03-20,129487.97,126898.3,132489.225,2020-03-20,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
126714.58,124253.175,129055.275,2020-03-21,175721.22,171778.15,180356.6,2020-03-21,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
168500.69,166195.975,171063.95,2020-03-22,236409.05,231750.8,241085.425,2020-03-22,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
43495.12,42852.325,44362.375,2020-03-23,57794.13,56373.275,59530.25,2020-03-23,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
311751.93,308450.5,315062.25,2020-03-24,450796.14,444021.6,456349.025,2020-03-24,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
406045.97,402582.475,410522,2020-03-25,605185.22,598677.85,612438.475,2020-03-25,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
242737,240865.675,244895.875,2020-03-26,345690.75,340744.15,350977.95,2020-03-26,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
160103.68,158828.55,161130.4,2020-03-27,222811.95,219548.975,226370.2,2020-03-27,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
132780.24,132076.6,133637.35,2020-03-28,182716.83,180258.275,185085.625,2020-03-28,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
160060.01,159178.725,160922.775,2020-03-29,223647.14,221170.075,226457.125,2020-03-29,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
200811.32,199830.55,201706.025,2020-03-30,283519.01,280607.55,286589.125,2020-03-30,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
204752.39,203919.1,205573.2,2020-03-31,293849.11,290615.25,296676.6,2020-03-31,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
215021.87,214277.5,215752.575,2020-04-01,311421.36,308615.6,314531.075,2020-04-01,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
242446.81,241713.825,243142.575,2020-04-02,354447.21,351364.75,357521.125,2020-04-02,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
266424.77,265798.225,267124.6,2020-04-03,399527.79,396741,403311.525,2020-04-03,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
306465.26,305612.45,307234.45,2020-04-04,467741.69,463855.4,471581.525,2020-04-04,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
320404.43,319860.9,320950.8,2020-04-05,497002.82,492819.975,501552.35,2020-04-05,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
342888.07,342219.5,343495,2020-04-06,555270.08,550993.775,559862.925,2020-04-06,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
357530.14,357079.55,357919.55,2020-04-07,613934.7,610105.9,617379.475,2020-04-07,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
358294.81,358043.85,358602.7,2020-04-08,641768.2,637764.25,645584.95,2020-04-08,365112,1156140.5,181006.530072045,975133.969927955,1337147.03007205
