"C_it-cn_T_mean","C_it-cn_T_q.025","C_it-cn_T_q.975","date_T","C_it-cn_E_mean","C_it-cn_E_q.025","C_it-cn_E_q.975","date_E","C_it_T","C_it_E_mean","C_it_E_std","C_it_E_lb","C_it_E_ub"
23206.27,22636.225,23912.4,2020-03-10,23778.23,23193.175,24525.45,2020-03-10,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
28735.57,27998.425,29573.975,2020-03-11,29550.82,28806.925,30438.4,2020-03-11,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
29539.13,28822.6,30299.725,2020-03-12,30438.21,29694.925,31291,2020-03-12,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
36095.34,35357.025,36806.125,2020-03-13,37347.26,36581.375,38236.825,2020-03-13,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
43898.25,43187.475,44833.05,2020-03-14,45634.32,44791.85,46706.05,2020-03-14,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
50061.27,49121.2,50894.725,2020-03-15,52263.19,51276.475,53204.675,2020-03-15,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
59517.78,58428.15,60580.475,2020-03-16,62465.15,61306.55,63691.35,2020-03-16,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
68647.62,67487.15,69548.1,2020-03-17,72197.46,70960.925,73231.05,2020-03-17,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
74599.1,73368.5,75544.2,2020-03-18,78906.65,77547.975,80092.975,2020-03-18,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
80485.16,79389.6,81472.8,2020-03-19,85609.77,84173.975,86747.225,2020-03-19,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
85071.71,83981.9,86158.9,2020-03-20,90605.79,89377.825,91876.5,2020-03-20,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
96577.04,95581.125,97674.35,2020-03-21,103666.4,102393.525,104958.075,2020-03-21,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
109716.7,108600.225,110765.5,2020-03-22,118816.71,117355.65,119979.025,2020-03-22,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
123275.98,122334.8,124352.65,2020-03-23,134905,133812.2,136265.65,2020-03-23,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
119608.77,118573.875,120665.15,2020-03-24,130739.86,129333.6,131920.125,2020-03-24,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
122854.09,121997.65,123677.3,2020-03-25,135260.76,134082.225,136406.25,2020-03-25,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
126757.65,125669.05,127719.65,2020-03-26,140781.27,139333,142317.2,2020-03-26,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
124469.87,123648.45,125562.225,2020-03-27,138082.24,136888.45,139804.1,2020-03-27,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
131036.48,130249.9,131785.2,2020-03-28,147007.57,145742.8,148294.425,2020-03-28,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
114391.68,113810.65,114880.65,2020-03-29,124626.59,123764.425,125360.025,2020-03-29,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
119667.42,119199.475,120090.775,2020-03-30,131373.29,130538.775,132228.25,2020-03-30,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
121831.36,121346.525,122261.325,2020-03-31,134101.64,133388.225,135031.725,2020-03-31,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
123016.46,122593.475,123387.45,2020-04-01,135938.21,135185.85,136743.125,2020-04-01,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
122805.77,122453.3,123175.975,2020-04-02,135611.07,134908.5,136341.35,2020-04-02,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
125711.75,125395.675,126001.175,2020-04-03,139977.99,139163.9,140732.575,2020-04-03,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
128431.81,128230.375,128652.175,2020-04-04,144278.23,143639.85,144954.4,2020-04-04,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
130328.59,130115.3,130543.15,2020-04-05,147260.8,146444.05,147940.4,2020-04-05,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
131668.36,131499.325,131830.675,2020-04-06,149673.8,149093.175,150243.525,2020-04-06,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
133704.62,133553,133814.175,2020-04-07,153424.29,152892.075,153986.375,2020-04-07,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
136232.92,136136.85,136338.575,2020-04-08,158089.77,157475.85,158775.4,2020-04-08,135676,183944.958888889,18900.1104589487,165044.84842994,202845.069347838
