"C_uk-cn_T_mean","C_uk-cn_T_q.025","C_uk-cn_T_q.975","date_T","C_uk-cn_E_mean","C_uk-cn_E_q.025","C_uk-cn_E_q.975","date_E","C_uk_T","C_uk_E_mean","C_uk_E_std","C_uk_E_lb","C_uk_E_ub"
1015.64,863.2,1203.525,2020-03-10,1043.83,878.3,1231.575,2020-03-10,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
1037.24,917.275,1187.825,2020-03-11,1066.43,934.475,1228.575,2020-03-11,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
1130.52,995.8,1289,2020-03-12,1169.55,1003.025,1340.4,2020-03-12,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
1383.44,1263.95,1518.2,2020-03-13,1429.17,1311.95,1559.15,2020-03-13,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
1810.84,1627.375,2003.775,2020-03-14,1882.08,1691.125,2093.575,2020-03-14,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
2561.15,2374.9,2760.825,2020-03-15,2682.85,2463.85,2912.2,2020-03-15,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
4073.96,3786.9,4406.9,2020-03-16,4322.57,3945.625,4711.425,2020-03-16,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
4512.42,4226.175,4845.325,2020-03-17,4784.79,4431.4,5139.775,2020-03-17,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
4562.32,4285.575,4882,2020-03-18,4864.49,4533.325,5241.675,2020-03-18,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
5683.82,5417.275,6000.25,2020-03-19,6104.84,5748.075,6501.3,2020-03-19,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
7992.21,7621.1,8394.6,2020-03-20,8687.95,8197.55,9218.45,2020-03-20,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
9843.04,9470.8,10133.625,2020-03-21,10830.56,10341.725,11159.075,2020-03-21,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
11596.38,11282.8,11964.25,2020-03-22,12896.71,12426.825,13386.4,2020-03-22,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
14339.55,13869.325,14883.95,2020-03-23,16148.02,15488.775,16834.65,2020-03-23,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
15232.69,14805.9,15767.525,2020-03-24,17352.85,16767.325,18050.35,2020-03-24,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
17019.88,16574.225,17456.95,2020-03-25,19688.41,19048.875,20350.575,2020-03-25,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
20348.24,19895.425,20832.825,2020-03-26,24015.86,23221.85,24674,2020-03-26,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
23686.09,23198.35,24158.625,2020-03-27,28158.76,27443.3,28908.1,2020-03-27,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
28236.11,27693.95,28710.05,2020-03-28,34891.45,34139.975,35628.125,2020-03-28,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
34658.81,34156,35261.15,2020-03-29,44739.4,43805.75,45757.175,2020-03-29,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
38661.16,37943.625,39436.9,2020-03-30,51655.69,50496.225,52983.15,2020-03-30,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
42206.45,41619.225,42830.15,2020-03-31,56919.92,55754.7,58169.3,2020-03-31,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
44193.86,43606.525,44665.975,2020-04-01,62063.49,60721.925,63117.45,2020-04-01,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
46789.39,46352.5,47307.275,2020-04-02,68356.06,67034.55,69558.7,2020-04-02,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
51095.89,50723.7,51493.775,2020-04-03,80411.15,79335.75,81751.35,2020-04-03,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
52374.91,51950.55,52842.675,2020-04-04,91161.67,89668.35,92692.45,2020-04-04,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
54740.42,54329.15,55056.25,2020-04-05,96840.65,95503.75,97989.35,2020-04-05,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
52993.34,52784.95,53231.65,2020-04-06,92279.63,91234.95,93430.5,2020-04-06,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
55773.77,55621.275,55955.525,2020-04-07,105012.9,103855.9,105946,2020-04-07,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
56323.15,56214.95,56447.1,2020-04-08,109243.16,108062.775,110311.625,2020-04-08,55148,202680.682142857,28993.7096521828,173686.972490674,231674.39179504
